episode,steps,ep_reward,avg_speed,energy,wiggle,safety,success
1,1,199.964,3.743,18.577,0.000,0.000,1
2,4,202.279,45.389,0.000,0.000,0.000,1
3,1,199.911,3.523,6.894,0.000,0.000,1
4,5,203.053,53.245,0.000,0.000,0.000,1
5,1,-200.000,3.212,3.083,0.000,0.000,0
6,2,200.697,18.929,138.610,0.000,0.000,1
7,1,-200.000,0.000,0.000,0.000,0.093,0
8,1,199.955,5.422,28.454,0.000,0.000,1
9,1,199.899,3.410,9.954,0.000,0.000,1
10,1,200.015,7.222,63.002,0.000,0.000,1
11,4,202.108,44.086,0.000,0.000,0.000,1
12,5,203.051,52.861,0.000,0.000,0.000,1
13,5,-198.177,18.675,205.326,0.000,0.750,0
14,2,200.380,17.275,62.219,0.000,0.000,1
15,5,202.487,52.456,0.000,0.000,0.000,1
16,1,-200.150,4.842,14.987,0.000,0.327,0
17,3,-198.858,30.294,0.000,0.000,0.997,0
18,2,200.465,18.915,138.490,0.000,0.000,1
19,1,-200.119,4.499,18.382,0.000,0.000,0
20,2,-199.517,18.908,138.429,0.000,0.562,0
21,5,202.665,52.737,0.000,0.000,0.000,1
22,1,-200.104,6.539,42.186,0.000,0.000,0
23,3,-199.116,28.819,0.000,0.000,0.949,0
24,2,200.599,18.990,139.131,0.000,0.000,1
25,1,-199.749,8.050,80.052,0.000,0.669,0
26,2,200.058,0.000,0.000,0.000,0.000,1
27,2,200.750,20.727,198.738,0.000,0.000,1
28,1,0.000,0.000,0.000,0.000,0.000,0
29,3,200.899,0.000,0.000,0.332,0.000,1
30,1,199.829,5.775,36.711,0.000,0.000,1
31,3,201.042,28.267,0.000,0.000,0.000,1
32,2,200.597,19.297,141.765,0.000,0.000,1
33,2,200.529,17.112,82.104,0.000,0.000,1
34,1,199.904,3.525,13.824,0.000,0.000,1
35,3,-199.012,0.000,0.000,0.965,0.000,0
36,4,-198.444,41.032,0.000,0.000,0.000,0
37,1,-199.948,4.071,8.173,0.000,0.401,0
38,2,-199.510,18.977,139.016,0.000,0.505,0
39,2,200.000,17.134,61.639,0.000,0.000,1
40,2,199.848,15.415,18.200,0.000,0.000,1
41,5,203.005,52.477,0.000,0.000,0.000,1
42,1,0.000,0.000,0.000,0.000,0.000,0
