#{"t_start": 1769079052.9466808, "env_id": "None"}
r,l,t
-72.40406,200,1803.765057
76.485861,6,1805.6898
-73.510631,5,1808.225617
4.481261,6,1809.879796
-48.036395,15,1813.714983
35.412259,5,11637.677514
-79.225599,4,11640.439767
-94.65746,2,11642.316728
-92.292606,4,11647.239637
67.068066,4,11649.244262
36.138605,4,14054.922992
-108.28253,4,14057.470288
-94.797942,3,14059.780971
-102.477739,12,14067.48925
-92.657117,2,14069.806987
39.376822,4,16347.420424
-71.867685,11,16353.047202
24.215352,4,16354.749935
43.447763,4,16357.177014
-125.390462,3,16359.384475
39.120926,3,18735.913661
24.412934,4,18738.162522
44.14606,3,18739.773288
-44.4978,3,18741.283715
49.59512,3,18742.945187
3.787071,5,20933.971747
10.009143,4,20936.111094
-54.65137,3,20937.58636
-25.232625,9,20940.105522
-151.312088,4,20942.352504
25.39605,3,25233.899177
-124.073783,18,25239.443522
-130.115598,3,25241.602907
-20.902744,8,25244.197711
-96.087997,1,25246.233896
-1.88142,5,27803.423395
-99.248387,4,27805.820259
72.677008,4,27808.294549
-32.873808,8,27810.937795
-147.425933,4,27812.518479
36.079109,3,30358.969001
18.366539,4,30361.2679
4.46696,4,30363.57686
34.86333,4,30365.145097
23.566749,4,30366.720659
32.32008,4,32770.257153
27.172575,3,32772.424311
21.289048,4,32774.89554
-92.482027,3,32776.473286
66.596326,3,32778.714446
-64.387547,3,35355.410489
-174.185019,4,35361.269763
-109.385245,26,35370.4269
21.019294,5,35372.828361
-121.648985,2,35374.997622
-85.372562,2,37974.921929
-57.972233,4,37976.562585
22.785507,4,37978.106331
-21.905821,4,37979.711009
71.454549,3,37984.952607
18.032505,4,40440.48897
32.844444,4,40442.025944
-92.742079,5,40444.506307
28.352054,4,40446.073641
26.257694,4,40448.273803
36.870927,4,43036.920207
34.707632,4,43038.476618
43.064209,5,43041.00778
-151.366934,3,43042.582223
-0.166092,3,43044.160882
-93.402782,5,45486.918891
-155.336289,7,45489.436732
-55.123255,8,45492.267081
-49.447906,5,45493.932037
53.546061,3,45495.497089
-12.555901,3,47912.812617
-210.898333,7,47915.379072
-104.47982,33,47928.615481
-95.528572,9,47932.057084
-135.813685,9,47937.365117
49.76031,19,50468.334203
-32.388717,4,50469.956674
29.150867,4,50471.473726
36.957328,4,50473.013038
49.404599,3,50474.507123
-16.351329,5,52938.464144
-103.114587,4,52940.952897
-151.876726,5,52943.338729
-103.159588,5,52945.921445
-39.664089,3,52947.468902
-173.665446,5,55354.60041
-94.165459,8,55358.014028
-99.659944,3,55360.381797
-45.751407,7,55363.147813
30.291702,5,55365.972237
38.570348,4,57999.328614
39.371912,3,58001.735272
-23.652725,6,58004.293992
-111.114997,2,58005.919625
-104.572968,2,58008.096629
