Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,7,-63.35,23.66,238.53,False
1,6,-41.94,29.34,353.63,True
2,12,-79.27,10.38,208.48,False
3,8,-86.40,24.56,339.46,False
4,3,-52.67,44.10,367.30,False
5,8,-27.98,13.47,54.91,False
6,9,-53.87,23.34,436.54,True
7,8,-28.02,4.64,29.64,False
8,12,-37.85,9.83,339.75,True
9,31,-86.69,2.92,167.63,False
10,3,-35.66,13.83,74.97,False
11,7,-38.60,14.88,182.99,False
12,9,-36.17,7.53,58.30,False
13,6,-57.89,18.68,167.21,False
14,11,-46.56,10.69,142.19,False
15,41,-164.89,3.15,389.68,False
16,10,-37.11,6.52,91.36,False
17,7,-89.46,25.49,449.44,False
18,6,-40.29,25.45,396.89,True
19,4,-26.60,8.24,8.93,False
20,18,-78.66,0.00,27.33,False
21,18,-36.37,8.39,284.58,True
22,4,-16.39,18.95,26.55,False
23,6,-93.25,33.22,381.05,True
24,10,-80.27,14.91,339.97,False
25,11,-45.34,10.07,49.29,False
26,5,-28.83,21.29,137.59,False
27,11,-28.66,5.36,42.14,False
28,7,-6.91,16.33,148.41,True
29,10,-41.41,5.48,64.77,False
30,5,-41.65,8.30,56.12,False
31,2,-38.31,37.90,95.38,False
32,9,-94.97,35.58,883.86,True
33,9,-30.20,11.24,110.21,False
34,3,-29.52,16.36,17.02,False
35,3,-44.37,50.90,463.14,True
36,14,-94.25,19.37,750.69,True
37,4,-49.92,38.17,532.38,True
38,3,-29.86,19.85,86.83,False
39,7,-32.20,15.45,195.41,False
40,5,-14.74,32.97,212.54,True
41,6,-41.01,6.92,15.43,False
42,4,-78.13,36.57,386.00,False
43,5,-17.91,29.39,312.86,True
44,24,-140.43,8.06,578.81,False
45,1,-20.54,23.11,5.55,False
46,8,-8.44,8.84,50.04,False
47,10,-47.53,4.61,111.52,False
48,4,-28.22,31.93,278.48,True
49,5,-44.42,29.94,495.07,True
50,3,-25.43,4.73,3.23,False
51,4,-33.80,0.00,44.20,False
52,6,-44.58,34.55,433.69,True
53,9,-43.47,7.00,85.83,False
54,7,-21.35,9.57,102.84,False
55,15,-28.16,11.41,213.24,True
